loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),groundTruthLabel
22:14.8,951,232629.2836,0.078796387,0.949630737,0.023452759,walking
22:14.8,952,232629.2936,0.027511597,0.905990601,0.07460022,walking
22:14.8,953,232629.3037,-0.003860474,0.866210938,0.082855225,walking
22:14.9,954,232629.3137,-0.034683228,0.830062866,0.081054688,walking
22:14.9,955,232629.3237,-0.066375732,0.806030273,0.098953247,walking
22:14.9,956,232629.3338,-0.079452515,0.788619995,0.09854126,walking
22:14.9,957,232629.3438,-0.069290161,0.77835083,0.061157227,walking
22:14.9,958,232629.3538,-0.069061279,0.747253418,0.011871338,walking
22:14.9,959,232629.3638,-0.084472656,0.716094971,-0.038116455,walking
22:14.9,960,232629.3739,-0.09967041,0.682449341,-0.037857056,walking
22:14.9,961,232629.3839,-0.11618042,0.652648926,-0.03553772,walking
22:14.9,962,232629.3939,-0.128997803,0.63835144,-0.030563354,walking
22:14.9,963,232629.4039,-0.140029907,0.62890625,-0.024475098,walking
22:15.0,964,232629.414,-0.153366089,0.628768921,-0.046264648,walking
22:15.0,965,232629.424,-0.147888184,0.621887207,-0.063186646,walking
22:15.0,966,232629.434,-0.131973267,0.626037598,-0.097106934,walking
22:15.0,967,232629.4441,-0.119689941,0.647491455,-0.145675659,walking
22:15.0,968,232629.4541,-0.09815979,0.670730591,-0.194976807,walking
22:15.0,969,232629.4641,-0.065139771,0.699295044,-0.232757568,walking
22:15.0,970,232629.4741,-0.017990112,0.730285645,-0.26171875,walking
22:15.0,971,232629.4842,0.019546509,0.765808105,-0.297485352,walking
22:15.0,972,232629.4942,0.051483154,0.804901123,-0.3230896,walking
22:15.0,973,232629.5042,0.076828003,0.843551636,-0.342315674,walking
22:15.1,974,232629.5143,0.090042114,0.885848999,-0.381866455,walking
22:15.1,975,232629.5243,0.093551636,0.928253174,-0.422561646,walking
22:15.1,976,232629.5343,0.093109131,0.963348389,-0.463623047,walking
22:15.1,977,232629.5443,0.090606689,0.989395142,-0.491210938,walking
22:15.1,978,232629.5544,0.093063354,1.011825562,-0.518371582,walking
22:15.1,979,232629.5644,0.105102539,1.049850464,-0.548309326,walking
22:15.1,980,232629.5744,0.123458862,1.095901489,-0.57333374,walking
22:15.1,981,232629.5844,0.155441284,1.145751953,-0.593322754,walking
22:15.1,982,232629.5945,0.203781128,1.185806274,-0.609985352,walking
22:15.1,983,232629.6045,0.238449097,1.208358765,-0.617340088,walking
22:15.2,984,232629.6145,0.221420288,1.209671021,-0.626831055,walking
22:15.2,985,232629.6246,0.174713135,1.188339233,-0.610687256,walking
22:15.2,986,232629.6346,0.174438477,1.112167358,-0.555633545,walking
22:15.2,987,232629.6446,0.160812378,1.005355835,-0.571609497,walking
22:15.2,988,232629.6546,0.158294678,0.876663208,-0.625717163,walking
22:15.2,989,232629.6647,0.172851563,0.732452393,-0.644714355,walking
22:15.2,990,232629.6747,0.187210083,0.613327026,-0.603866577,walking
22:15.2,991,232629.6847,0.184341431,0.584899902,-0.524383545,walking
22:15.2,992,232629.6948,0.149002075,0.667877197,-0.461807251,walking
22:15.2,993,232629.7048,0.066452026,0.838256836,-0.405380249,walking
22:15.3,994,232629.7148,-0.048400879,1.049728394,-0.345718384,walking
22:15.3,995,232629.7248,-0.156265259,1.306015015,-0.204452515,walking
22:15.3,996,232629.7349,-0.240966797,1.576675415,-0.03338623,walking
22:15.3,997,232629.7449,-0.309951782,1.777938843,0.022369385,walking
22:15.3,998,232629.7549,-0.392196655,1.936798096,-0.06892395,walking
22:15.3,999,232629.7649,-0.403991699,1.918182373,-0.214172363,walking
22:15.3,1000,232629.775,-0.328491211,1.524337769,-0.210281372,walking
22:15.3,1001,232629.785,-0.172607422,0.905487061,0.030670166,walking
22:15.3,1002,232629.795,-0.038864136,0.438674927,0.284301758,walking
22:15.3,1003,232629.8051,0.021911621,0.221054077,0.445617676,walking
22:15.4,1004,232629.8151,0.010528564,0.169372559,0.457778931,walking
22:15.4,1005,232629.8251,-0.004013062,0.185272217,0.360534668,walking
22:15.4,1006,232629.8351,0.022003174,0.414047241,0.262542725,walking
22:15.4,1007,232629.8452,0.097045898,0.773330688,0.283370972,walking
22:15.4,1008,232629.8552,0.217254639,1.036590576,0.352798462,walking
22:15.4,1009,232629.8652,0.303039551,1.213043213,0.415283203,walking
22:15.4,1010,232629.8753,0.286773682,1.272613525,0.427627563,walking
22:15.4,1011,232629.8853,0.237472534,1.323287964,0.412033081,walking
22:15.4,1012,232629.8953,0.201782227,1.321472168,0.300704956,walking
22:15.4,1013,232629.9053,0.126098633,1.261016846,0.13822937,walking
22:15.5,1014,232629.9154,0.024490356,1.187103271,0.03012085,walking
22:15.5,1015,232629.9254,-0.056686401,1.107269287,-0.036209106,walking
22:15.5,1016,232629.9354,-0.127838135,1.022277832,-0.083496094,walking
22:15.5,1017,232629.9454,-0.16078186,0.954986572,-0.025177002,walking
22:15.5,1018,232629.9555,-0.150680542,0.90296936,0.056289673,walking
22:15.5,1019,232629.9655,-0.125473022,0.86781311,0.106185913,walking
22:15.5,1020,232629.9755,-0.071609497,0.853469849,0.157073975,walking
22:15.5,1021,232629.9856,0.002807617,0.857330322,0.196456909,walking
22:15.5,1022,232629.9956,0.044464111,0.866867065,0.191207886,walking
22:15.5,1023,232630.0056,0.080474854,0.909484863,0.162719727,walking
22:15.6,1024,232630.0156,0.139831543,0.965652466,0.121673584,walking
22:15.6,1025,232630.0257,0.165863037,0.986526489,0.091781616,walking
22:15.6,1026,232630.0357,0.213058472,0.991760254,0.059448242,walking
22:15.6,1027,232630.0457,0.252944946,0.971038818,0.031234741,walking
22:15.6,1028,232630.0558,0.277038574,0.93057251,0.03503418,walking
22:15.6,1029,232630.0658,0.265380859,0.903198242,0.052886963,walking
22:15.6,1030,232630.0758,0.232971191,0.884552002,0.0599823,walking
22:15.6,1031,232630.0858,0.203155518,0.879592896,0.058319092,walking
22:15.6,1032,232630.0959,0.176116943,0.902389526,0.076553345,walking
22:15.6,1033,232630.1059,0.141113281,0.933258057,0.09538269,walking
22:15.7,1034,232630.1159,0.108734131,0.976196289,0.08001709,walking
22:15.7,1035,232630.126,0.072784424,1.021286011,0.064956665,walking
22:15.7,1036,232630.136,0.037979126,1.045013428,0.025695801,walking
22:15.7,1037,232630.146,-0.000610352,1.0443573,-0.023681641,walking
22:15.7,1038,232630.156,-0.027053833,1.028091431,-0.063186646,walking
22:15.7,1039,232630.1661,-0.043823242,0.992706299,-0.081787109,walking
22:15.7,1040,232630.1761,-0.041915894,0.966644287,-0.054550171,walking
22:15.7,1041,232630.1861,-0.031768799,0.951675415,-0.004440308,walking
