loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),groundTruthLabel
19:32.1,674,232466.5794,0.424560547,0.84362793,-0.244644165,walking
19:32.1,675,232466.5894,0.423370361,0.82598877,-0.264541626,walking
19:32.1,676,232466.5994,0.448791504,0.800491333,-0.292251587,walking
19:32.2,677,232466.6094,0.529663086,0.751403809,-0.338607788,walking
19:32.2,678,232466.6195,0.633865356,0.706329346,-0.382629395,walking
19:32.2,679,232466.6295,0.680511475,0.669326782,-0.414093018,walking
19:32.2,680,232466.6395,0.715896606,0.679046631,-0.469070435,walking
19:32.2,681,232466.6496,0.733779907,0.722946167,-0.492828369,walking
19:32.2,682,232466.6596,0.729766846,0.771835327,-0.460952759,walking
19:32.2,683,232466.6696,0.714584351,0.820098877,-0.392959595,walking
19:32.2,684,232466.6796,0.694641113,0.867935181,-0.369430542,walking
19:32.2,685,232466.6897,0.659088135,0.920257568,-0.350311279,walking
19:32.2,686,232466.6997,0.608764648,0.974746704,-0.314041138,walking
19:32.3,687,232466.7097,0.585998535,1.010803223,-0.30960083,walking
19:32.3,688,232466.7197,0.550796509,1.0050354,-0.261108398,walking
19:32.3,689,232466.7298,0.505493164,0.955718994,-0.189956665,walking
19:32.3,690,232466.7398,0.469955444,0.912796021,-0.184020996,walking
19:32.3,691,232466.7498,0.431243896,0.881408691,-0.206817627,walking
19:32.3,692,232466.7599,0.408203125,0.858779907,-0.248443604,walking
19:32.3,693,232466.7699,0.385162354,0.821868896,-0.291412354,walking
19:32.3,694,232466.7799,0.372406006,0.787918091,-0.328994751,walking
19:32.3,695,232466.7899,0.380477905,0.763061523,-0.382507324,walking
19:32.3,696,232466.8,0.411148071,0.732788086,-0.431259155,walking
19:32.4,697,232466.81,0.459365845,0.699874878,-0.410430908,walking
19:32.4,698,232466.82,0.473114014,0.689666748,-0.413955688,walking
19:32.4,699,232466.83,0.471038818,0.702636719,-0.43196106,walking
19:32.4,700,232466.8401,0.475860596,0.716445923,-0.417022705,walking
19:32.4,701,232466.8501,0.497848511,0.71723938,-0.400741577,walking
19:32.4,702,232466.8601,0.516464233,0.719680786,-0.387863159,walking
19:32.4,703,232466.8702,0.529434204,0.727386475,-0.375961304,walking
19:32.4,704,232466.8802,0.537811279,0.743362427,-0.370941162,walking
19:32.4,705,232466.8902,0.543365479,0.755844116,-0.375640869,walking
19:32.4,706,232466.9002,0.552185059,0.757415771,-0.387756348,walking
19:32.5,707,232466.9103,0.560775757,0.762069702,-0.412536621,walking
19:32.5,708,232466.9203,0.56539917,0.762130737,-0.441772461,walking
19:32.5,709,232466.9303,0.565078735,0.753555298,-0.467727661,walking
19:32.5,710,232466.9404,0.563339233,0.739196777,-0.484405518,walking
19:32.5,711,232466.9504,0.56199646,0.721603394,-0.488937378,walking
19:32.5,712,232466.9604,0.555175781,0.703979492,-0.482223511,walking
19:32.5,713,232466.9704,0.54057312,0.689086914,-0.481613159,walking
19:32.5,714,232466.9805,0.529174805,0.678573608,-0.487121582,walking
19:32.5,715,232466.9905,0.523849487,0.67250061,-0.491622925,walking
19:32.5,716,232467.0005,0.521850586,0.678634644,-0.499191284,walking
19:32.6,717,232467.0105,0.52305603,0.688583374,-0.508148193,walking
19:32.6,718,232467.0206,0.525253296,0.698867798,-0.506713867,walking
19:32.6,719,232467.0306,0.52684021,0.706161499,-0.501419067,walking
19:32.6,720,232467.0406,0.529876709,0.712631226,-0.492034912,walking
19:32.6,721,232467.0507,0.526031494,0.72114563,-0.484664917,walking
19:32.6,722,232467.0607,0.516891479,0.724258423,-0.482406616,walking
19:32.6,723,232467.0707,0.505844116,0.7265625,-0.477401733,walking
19:32.6,724,232467.0807,0.494750977,0.72567749,-0.467666626,walking
19:32.6,725,232467.0908,0.48588562,0.720077515,-0.465286255,walking
19:32.6,726,232467.1008,0.479782104,0.710586548,-0.463531494,walking
19:32.7,727,232467.1108,0.478240967,0.702163696,-0.457550049,walking
19:32.7,728,232467.1208,0.47769165,0.689437866,-0.455627441,walking
19:32.7,729,232467.1309,0.478057861,0.680130005,-0.469192505,walking
19:32.7,730,232467.1409,0.480010986,0.675842285,-0.48727417,walking
19:32.7,731,232467.1509,0.478729248,0.675842285,-0.506362915,walking
19:32.7,732,232467.161,0.477386475,0.672943115,-0.528442383,walking
19:32.7,733,232467.171,0.483322144,0.663085938,-0.547134399,walking
19:32.7,734,232467.181,0.499420166,0.647750854,-0.554595947,walking
19:32.7,735,232467.191,0.529937744,0.633956909,-0.552856445,walking
19:32.7,736,232467.2011,0.565887451,0.618240356,-0.555145264,walking
19:32.8,737,232467.2111,0.599990845,0.602142334,-0.564865112,walking
19:32.8,738,232467.2211,0.617965698,0.593444824,-0.581558228,walking
